trial_id,parent_trial_id,mutation,feature_view,transformation,scaler,algorithm,n_clusters,outlier_policy,status,rejection_reason,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_share,maximum_cluster_share,stability_ari_mean,stability_ari_sd,interpretability_score,differentiated_features,complexity_penalty,objective,runtime_seconds
25,22.0,outlier_policy: keep -> winsorize,behavioral,log1p,robust,agglomerative,2,winsorize,rejected,dominant cluster above maximum,0.5445161802636883,2163.0713804189822,0.9386552701667519,0.1251815277374383,0.8748184722625617,0.785271319014644,0.01914942439370727,0.5,1,0.0,-1.0,0.821114636000857
26,22.0,n_clusters: 2 -> 3,behavioral,log1p,robust,agglomerative,3,keep,rejected,cluster share below minimum; dominant cluster above maximum,0.5064743024958318,1896.5870490845123,0.8079537328121381,0.010165553296543712,0.8745280278826605,0.528662119754979,0.25875591318447455,1.0,2,0.0016666666666666668,-1.0,0.8153870470014226
27,22.0,feature_view: behavioral -> compact,compact,log1p,robust,agglomerative,2,keep,rejected,cluster share below minimum; dominant cluster above maximum,0.808910449044149,3434.060376863195,0.43566677141133364,0.025559105431309903,0.9744408945686901,0.4697309527285754,0.16808660751552362,1.0,2,0.0,-1.0,0.7674888760011527
28,22.0,feature_view: behavioral -> rfm,rfm,log1p,robust,agglomerative,2,keep,valid,,0.42115443069305514,3403.862902420054,0.9030729855493769,0.4321812372930584,0.5678187627069416,0.755664097679241,0.17364427991435896,1.0,3,0.0,0.7766301804845088,0.7497087900010229
29,13.0,deterministic restart,behavioral,yeo_johnson,standard,agglomerative,2,keep,valid,,0.28067742865808915,1343.2067759088764,1.330894682111913,0.3276212605286088,0.6723787394713913,0.5550906927966791,0.11694695962714105,1.0,7,0.0,0.6818296591759037,1.0252667480017408
30,29.0,outlier_policy: keep -> winsorize,behavioral,yeo_johnson,standard,agglomerative,2,winsorize,valid,,0.2773232483416033,1361.3291936501405,1.3399018118526618,0.3331397037467325,0.6668602962532675,0.40507474580885044,0.29682451863143555,1.0,7,0.0,0.6438582770513511,1.1060529240021424
31,29.0,n_clusters: 2 -> 3,behavioral,yeo_johnson,standard,agglomerative,3,keep,valid,,0.19695891361411672,1224.9193234184236,1.5693725602089448,0.23729305837932035,0.43508568109207085,0.44708156012568273,0.11866371629867228,1.0,9,0.0016666666666666668,0.6352392628182351,1.0643414289988868
32,29.0,feature_view: behavioral -> compact,compact,yeo_johnson,standard,agglomerative,2,keep,valid,,0.32151970166701593,1951.5377151453226,1.1606203885324125,0.33633459192564624,0.6636654080743538,0.2712752664887902,0.12008060769822666,1.0,5,0.0,0.6259830528752267,0.9467858940006408
33,29.0,feature_view: behavioral -> rfm,rfm,yeo_johnson,standard,agglomerative,2,keep,valid,,0.39249723581106216,3038.898515693568,0.8942575336283287,0.33343014812663374,0.6665698518733663,0.48840536425579,0.32516691517096163,1.0,3,0.0,0.7040607498623978,0.8772671149999951
34,29.0,algorithm: agglomerative -> gaussian_mixture,behavioral,yeo_johnson,standard,gaussian_mixture,2,keep,valid,,0.32540781012804343,2002.9328207068586,1.2134194846145991,0.4751670055184432,0.5248329944815567,0.9594195797057017,0.03077896549839776,1.0,6,0.0,0.7978880348871283,0.4759386400000949
35,29.0,algorithm: agglomerative -> kmeans,behavioral,yeo_johnson,standard,kmeans,2,keep,valid,,0.32734495560500976,2103.379620881272,1.1912053672086151,0.48939878013360444,0.5106012198663956,0.964039841781731,0.014071419448418155,1.0,8,0.0,0.8005253256174581,0.5889778599994315
36,13.0,deterministic restart,behavioral,yeo_johnson,robust,agglomerative,2,winsorize,valid,,0.26546656115750633,1523.70467941321,1.2577513509338163,0.31687481847226256,0.6831251815277375,0.5514634571513803,0.27878316301008227,1.0,3,0.0,0.6819210457332748,1.199731132001034
37,36.0,n_clusters: 2 -> 3,behavioral,yeo_johnson,robust,agglomerative,3,winsorize,valid,,0.18217438983830136,1252.7968929018557,1.5757620637831045,0.21870461806564043,0.46442056346209704,0.47702503278175473,0.17877254599231493,1.0,8,0.0016666666666666668,0.6407481878802749,0.9964343920000829
